Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
32.0,20,25.107652164906025,True,32.0,28.0,11.0,4.026694045924259,2024-09-17 10:06:27.547794,2024-09-16 09:00:00,2024-09-16 13:01:36.098565,1,10:06:27.547794,0.0,13:01:36.098565
28.0,20,25.230712189509884,True,28.0,32.0,11.0,7.519614990913812,2024-09-17 10:13:50.563882,2024-09-16 09:00:00,2024-09-16 16:31:10.613967,1,10:13:50.563882,0.0,16:31:10.613967
32.0,20,25.46182373663425,True,32.0,28.0,10.0,2.7867021148445783,2024-09-17 10:27:42.565452,2024-09-16 09:00:00,2024-09-16 11:47:12.127613,1,10:27:42.565452,0.0,11:47:12.127613
32.0,20,25.698127690154603,True,32.0,28.0,9.0,1.753677175575767,2024-09-17 10:41:53.259685,2024-09-16 09:00:00,2024-09-16 10:45:13.237832,1,10:41:53.259685,0.0,10:45:13.237832
28.0,20,25.709338224939195,True,28.0,32.0,12.0,9.440064382277397,2024-09-17 10:42:33.617610,2024-09-16 09:00:00,2024-09-16 18:26:24.231776,1,10:42:33.617610,0.0,18:26:24.231776
32.0,20,25.850183444144754,True,32.0,28.0,8.0,0.9222499046656676,2024-09-17 10:51:00.660399,2024-09-16 09:00:00,2024-09-16 09:55:20.099657,1,10:51:00.660399,0.0,09:55:20.099657
32.0,20,25.932735711830333,True,32.0,28.0,7.0,0.2783726326476046,2024-09-17 10:55:57.848563,2024-09-16 09:00:00,2024-09-16 09:16:42.141478,1,10:55:57.848563,0.0,09:16:42.141478
28.0,20,26.23058240442014,True,28.0,32.0,13.0,11.590178382130633,2024-09-17 11:13:50.096656,2024-09-16 09:00:00,2024-09-16 20:35:24.642176,1,11:13:50.096656,0.0,20:35:24.642176
32.0,20,26.238223099228563,True,32.0,28.0,6.0,0.0,2024-09-17 11:14:17.603157,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,11:14:17.603157,0.0,09:00:00
28.0,20,26.697379404247563,True,28.0,32.0,14.0,13.850709900502048,2024-09-17 11:41:50.565855,2024-09-16 09:00:00,2024-09-16 22:51:02.555642,1,11:41:50.565855,0.0,22:51:02.555642
32.0,20,26.77272787814281,True,32.0,28.0,5.0,0.0,2024-09-17 11:46:21.820361,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,11:46:21.820361,0.0,09:00:00
28.0,20,27.281232871489873,True,28.0,32.0,15.0,16.365020978768353,2024-09-17 12:16:52.438337,2024-09-16 09:00:00,2024-09-17 01:21:54.075524,1,12:16:52.438337,1.0,01:21:54.075524
32.0,20,27.293857467250824,True,32.0,28.0,4.0,0.0,2024-09-17 12:17:37.886882,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,12:17:37.886882,0.0,09:00:00
32.0,20,27.800041587873938,True,32.0,28.0,3.0,0.0,2024-09-17 12:48:00.149716,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,12:48:00.149716,0.0,09:00:00
28.0,20,28.06889173257046,True,28.0,32.0,16.0,19.187656225617765,2024-09-17 13:04:08.010237,2024-09-16 09:00:00,2024-09-17 04:11:15.562412,1,13:04:08.010237,1.0,04:11:15.562412
32.0,20,28.233971474530563,True,32.0,28.0,2.0,0.0,2024-09-17 13:14:02.297308,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,13:14:02.297308,0.0,09:00:00
28.0,20,28.422879092004877,True,28.0,26.0,17.0,21.878739750843813,2024-09-17 13:25:22.364731,2024-09-16 09:00:00,2024-09-17 06:52:43.463103,1,13:25:22.364731,1.0,06:52:43.463103
28.0,20,28.4298781082452,True,28.0,32.0,19.0,26.083990513040476,2024-09-17 13:25:47.561190,2024-09-16 09:00:00,2024-09-17 11:05:02.365847,1,13:25:47.561190,1.0,11:05:02.365847
32.0,20,28.523010830301846,True,32.0,28.0,1.0,0.0,2024-09-17 13:31:22.838989,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,13:31:22.838989,0.0,09:00:00
28.0,20,28.599031187960207,True,28.0,32.0,18.0,24.00382047214794,2024-09-17 13:35:56.512277,2024-09-16 09:00:00,2024-09-17 09:00:13.753700,1,13:35:56.512277,1.0,09:00:13.753700
28.0,20,28.600573109895578,False,,,,,2024-09-17 13:36:02.063196,2024-09-16 09:00:00,,1,13:36:02.063196,,
